third_party_movie_data/extracted_datasets/movie_title,release_year,movie_votes,movie_grade,movie_letter_grade
Tôkyô goddofâzâzu,2003,0,0.0,F
Serenity,2005,0,0.0,F
Walk the Line,2005,0,0.0,F
Ondskan,2003,0,0.0,F
The Notebook,2004,0,0.0,F
Diarios de motocicleta,2004,0,0.0,F
Lilja 4-ever,2002,0,0.0,F
Les triplettes de Belleville,2003,0,0.0,F
Gongdong gyeongbi guyeok JSA,2000,0,0.0,F
The Count of Monte Cristo,2002,0,0.0,F
Waking Life,2001,0,0.0,F
Remember the Titans,2000,0,0.0,F
Wo hu cang long,2000,0,0.0,F
Todo sobre mi madre,1999,0,0.0,F
Cast Away,2000,0,0.0,F
The Boondock Saints,1999,0,0.0,F
The Insider,1999,0,0.0,F
October Sky,1999,0,0.0,F
Shrek,2001,0,0.0,F
Titanic,1997,0,0.0,F
Hana-bi,1997,0,0.0,F
Gattaca,1997,0,0.0,F
The Game,1997,0,0.0,F
Breaking the Waves,1996,0,0.0,F
Ed Wood,1994,0,0.0,F
What's Eating Gilbert Grape,1993,0,0.0,F
Tombstone,1993,0,0.0,F
The Sandlot,1993,0,0.0,F
The Remains of the Day,1993,0,0.0,F
Naked,1993,0,0.0,F
The Fugitive,1993,0,0.0,F
A Bronx Tale,1993,0,0.0,F
Batman: Mask of the Phantasm,1993,0,0.0,F
Lat sau san taam,1992,0,0.0,F
Night on Earth,1991,0,0.0,F
La double vie de Véronique,1991,0,0.0,F
Boyz n the Hood,1991,0,0.0,F
Misery,1990,0,0.0,F
Awakenings,1990,0,0.0,F
Majo no takkyûbin,1989,0,0.0,F
Glory,1989,0,0.0,F
Dip huet seung hung,1989,0,0.0,F
Back to the Future Part II,1989,0,0.0,F
Mississippi Burning,1988,0,0.0,F
Predator,1987,0,0.0,F
Evil Dead II,1987,0,0.0,F
Ferris Bueller's Day Off,1986,0,0.0,F
Down by Law,1986,0,0.0,F
The Goonies,1985,0,0.0,F
The Color Purple,1985,0,0.0,F
The Breakfast Club,1985,0,0.0,F
The Killing Fields,1984,0,0.0,F
Ghostbusters,1984,0,0.0,F
The Right Stuff,1983,0,0.0,F
The King of Comedy,1982,0,0.0,F
E.T. the Extra-Terrestrial,1982,0,0.0,F
Kramer vs. Kramer,1979,0,0.0,F
